NUMBER;TRADEDATE;OPEN;LOW;HIGH;CLOSE;VALUE
162;2024-03-20;7338.5;7337.5;7460.0;7438.5;8583791573.0
163;2024-03-21;7450.0;7370.0;7454.5;7417.5;4806375139.0
164;2024-03-22;7420.0;7184.5;7538.0;7303.0;25798186626.0
165;2024-03-25;7305.0;7303.0;7452.0;7438.0;6470404680.0
166;2024-03-26;7454.5;7380.0;7455.0;7419.0;4167015304.0
167;2024-03-27;7425.5;7404.5;7497.0;7493.0;3871127557.0
168;2024-03-28;7495.0;7430.5;7517.0;7481.0;3728290013.0
169;2024-03-29;7481.5;7460.0;7578.0;7551.0;5309786123.5
170;2024-04-01;7574.0;7573.0;7666.0;7665.0;5655560883.5
171;2024-04-02;7679.5;7625.0;7689.0;7654.0;2935739088.0
172;2024-04-03;7654.0;7641.0;7699.0;7686.5;2429698021.5
173;2024-04-04;7687.5;7678.0;7783.5;7727.5;5719872333.5
174;2024-04-05;7730.5;7654.0;7777.5;7662.5;8146536254.5
175;2024-04-08;7700.0;7662.5;7777.0;7767.0;5145050974.0
176;2024-04-09;7770.0;7740.0;7844.0;7786.5;6678737910.0
177;2024-04-10;7802.5;7755.0;7837.0;7825.0;3030625357.0
178;2024-04-11;7835.0;7827.0;7870.0;7836.5;3245978515.5
179;2024-04-12;7840.0;7785.0;7865.0;7839.5;3735924097.0
180;2024-04-15;7853.0;7849.5;7931.0;7920.5;4298701437.5
181;2024-04-16;7929.5;7870.0;7929.5;7897.0;3277092998.5
182;2024-04-17;7897.0;7855.5;7918.0;7886.0;3491166459.0
183;2024-04-18;7888.0;7800.0;7897.5;7840.0;4232011660.0
184;2024-04-19;7860.0;7790.0;7868.5;7835.5;4962729209.0
185;2024-04-22;7836.0;7803.0;7878.0;7827.5;5243909745.5
186;2024-04-23;7849.5;7806.0;7886.5;7840.0;4029556333.5
187;2024-04-24;7846.5;7803.5;7854.0;7820.5;2737409933.0
188;2024-04-25;7820.5;7809.5;7831.5;7827.5;2395854945.0
189;2024-04-26;7828.0;7810.0;7940.0;7929.5;6116032952.5
190;2024-04-27;7931.0;7931.0;8018.5;8002.5;5229831036.0
191;2024-04-29;8018.0;8016.0;8161.5;8152.0;4875540178.0
192;2024-04-30;8152.5;8080.0;8175.0;8085.5;3532834568.5
193;2024-05-02;8096.5;8037.0;8125.0;8104.5;4568439192.0
194;2024-05-03;8098.5;8010.0;8100.0;8075.5;4603847800.0
195;2024-05-06;8075.0;7901.0;8089.0;8026.5;20536829449.5
196;2024-05-07;7594.0;7574.0;7763.5;7722.5;18768522763.0
197;2024-05-08;7754.5;7691.0;7772.0;7714.0;5280587119.0
198;2024-05-10;7720.0;7710.0;7726.0;7713.5;1685692287.0
199;2024-05-13;7730.0;7676.0;7732.0;7689.0;3889987061.0
200;2024-05-14;7690.0;7670.0;7710.0;7672.0;3824557719.0
201;2024-05-15;7677.0;7640.0;7692.0;7655.5;3455305421.0
202;2024-05-16;7655.5;7633.0;7724.5;7715.0;3981825253.0
203;2024-05-17;7730.0;7729.0;7871.5;7854.5;7904004082.0
204;2024-05-20;7897.0;7752.0;7938.0;7834.5;6779800196.0
